Name,Phone,Email,City,Country,Salesperson,Sales Team,Category
Rahul Sharma,9876543210,rahul.sharma@email.com,Lucknow,India,Vikas Kumar,Sales Team A,Gym Membership
Priya Singh,9876543211,priya.singh@email.com,Kanpur,India,Amit Verma,Sales Team B,Personal Training
Amit Patel,9876543212,amit.patel@email.com,Delhi,India,Vikas Kumar,Sales Team A,Group Classes
Sneha Gupta,9876543213,sneha.gupta@email.com,Lucknow,India,Rahul Singh,Sales Team A,Gym Membership
Vikram Yadav,9876543214,vikram.yadav@email.com,Varanasi,India,Amit Verma,Sales Team B,CrossFit
Anjali Mishra,9876543215,anjali.mishra@email.com,Lucknow,India,Vikas Kumar,Sales Team A,Yoga
Rohit Kumar,9876543216,rohit.kumar@email.com,Kanpur,India,Rahul Singh,Sales Team B,Gym Membership
Neha Agarwal,9876543217,neha.agarwal@email.com,Delhi,India,Amit Verma,Sales Team A,Personal Training
Suresh Verma,9876543218,suresh.verma@email.com,Lucknow,India,Vikas Kumar,Sales Team A,Zumba
Pooja Tiwari,9876543219,pooja.tiwari@email.com,Gorakhpur,India,Rahul Singh,Sales Team B,Gym Membership
